,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
94,E07000062,Hastings,South East,E,6306.0,526.0,71.64,45.12,54.88,91497
95,E07000063,Lewes,South East,E,4150.0,772.0,77.89,52.07,47.93,100693
96,E07000064,Rother,South East,E,3811.0,606.0,79.33,41.47,58.53,92908
97,E07000065,Wealden,South East,E,6743.0,2244.0,80.03,45.5,54.5,156501
98,E07000066,Basildon,East,E,8323.0,1466.0,73.86,31.38,68.62,181721
99,E07000067,Braintree,East,E,5510.0,390.0,76.67,38.87,61.13,150360
100,E07000068,Brentwood,East,E,4663.0,763.0,79.5,40.85,59.15,76057
101,E07000069,Castle Point,East,E,1496.0,-458.0,75.38,27.3,72.7,89173
102,E07000070,Chelmsford,East,E,12316.0,1234.0,77.6,47.17,52.83,172638
103,E07000071,Colchester,East,E,30572.0,9960.0,75.11,46.4,53.6,183939
104,E07000072,Epping Forest,East,E,5936.0,965.0,76.89,37.31,62.69,129677
105,E07000073,Harlow,East,E,6855.0,3060.0,73.56,31.9,68.1,85397
106,E07000074,Maldon,East,E,2129.0,129.0,79.17,37.42,62.58,62743
107,E07000075,Rochford,East,E,1493.0,-377.0,78.81,33.39,66.61,85144
108,E07000076,Tendring,East,E,6051.0,1315.0,74.4,30.5,69.5,141183
109,E07000077,Uttlesford,East,E,4496.0,1720.0,80.28,49.32,50.68,85119
110,E07000078,Cheltenham,South West,E,15689.0,1917.0,75.88,56.17,43.83,116781
111,E07000079,Cotswold,South West,E,6763.0,888.0,79.8,51.1,48.9,85162
112,E07000080,Forest of Dean,South West,E,2855.0,734.0,77.47,41.42,58.58,84544
113,E07000081,Gloucester,South West,E,11154.0,3252.0,72.06,41.5,58.5,127158
114,E07000082,Stroud,South West,E,5030.0,11.0,80.03,54.61,45.39,116627
115,E07000083,Tewkesbury,South West,E,4763.0,1987.0,79.15,46.75,53.25,86890
116,E07000084,Basingstoke and Deane,South East,E,13940.0,3912.0,78.02,48.1,51.9,173856
117,E07000085,East Hampshire,South East,E,5708.0,261.0,81.65,50.52,49.48,118077
118,E07000086,Eastleigh,South East,E,5049.0,681.0,78.28,47.55,52.45,129027
119,E07000087,Fareham,South East,E,3482.0,461.0,79.59,44.9,55.1,114799
120,E07000088,Gosport,South East,E,2117.0,-592.0,73.51,36.14,63.86,84672
121,E07000089,Hart,South East,E,7026.0,2558.0,82.67,52.4,47.6,93912
122,E07000090,Havant,South East,E,3178.0,75.0,74.1,37.64,62.36,122927
123,E07000091,New Forest,South East,E,9356.0,3517.0,79.25,42.24,57.76,179023
124,E07000092,Rushmoor,South East,E,10030.0,-230.0,74.18,41.79,58.21,95342
125,E07000093,Test Valley,South East,E,7217.0,577.0,79.65,48.06,51.94,120712
